id	name	timestamp	price	stock
1	Ikan Gurame	2024-07-11 21:20:47	87500	2099
2	Ikan Lele	2024-07-11 21:20:47	33500	3548
3	Ikan Nila	2024-07-11 21:20:47	56250	2545
4	Ikan Patin	2024-07-11 21:20:47	35000	2200
5	Ikan Tuna	2024-07-11 21:20:47	114600	1800
6	Ikan Gurame	2024-07-11 21:21:47	87500	2099
7	Ikan Lele	2024-07-11 21:21:47	33500	3548
8	Ikan Nila	2024-07-11 21:21:47	56250	2545
9	Ikan Patin	2024-07-11 21:21:47	35000	2200
10	Ikan Tuna	2024-07-11 21:21:47	114600	1800
11	Ikan Gurame	2024-07-11 21:22:47	87500	2099
12	Ikan Lele	2024-07-11 21:22:47	33500	3548
13	Ikan Nila	2024-07-11 21:22:47	56250	2545
14	Ikan Patin	2024-07-11 21:22:47	35000	2200
15	Ikan Tuna	2024-07-11 21:22:47	114600	1800
16	Ikan Gurame	2024-07-11 21:23:47	87500	2099
17	Ikan Lele	2024-07-11 21:23:47	33500	3548
18	Ikan Nila	2024-07-11 21:23:47	56250	2545
19	Ikan Patin	2024-07-11 21:23:47	35000	2200
20	Ikan Tuna	2024-07-11 21:23:47	114600	1800
21	Ikan Gurame	2024-07-11 21:24:47	87500	2099
22	Ikan Lele	2024-07-11 21:24:47	33500	3548
23	Ikan Nila	2024-07-11 21:24:47	56250	2545
24	Ikan Patin	2024-07-11 21:24:47	35000	2200
25	Ikan Tuna	2024-07-11 21:24:47	114600	1800
26	Ikan Gurame	2024-07-11 21:25:47	87500	2099
27	Ikan Lele	2024-07-11 21:25:47	33500	3548
28	Ikan Nila	2024-07-11 21:25:47	56250	2545
29	Ikan Patin	2024-07-11 21:25:47	35000	2200
30	Ikan Tuna	2024-07-11 21:25:47	114600	1800
31	Ikan Gurame	2024-07-11 21:26:47	87500	2099
32	Ikan Lele	2024-07-11 21:26:47	33500	3548
33	Ikan Nila	2024-07-11 21:26:47	56250	2545
34	Ikan Patin	2024-07-11 21:26:47	35000	2200
35	Ikan Tuna	2024-07-11 21:26:47	114600	1800
36	Ikan Gurame	2024-07-11 21:27:47	87500	2099
37	Ikan Lele	2024-07-11 21:27:47	33500	3548
38	Ikan Nila	2024-07-11 21:27:47	56250	2545
39	Ikan Patin	2024-07-11 21:27:47	35000	2200
40	Ikan Tuna	2024-07-11 21:27:47	114600	1800
